uid,hand,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,gesture
4ca20239-dd06-11ec-b5a1-48e7da372cc2,RIGHT,0.61092657,0.7650387,1.575642e-08,0.5848709,0.72900677,-0.011661208,0.57057893,0.67934024,-0.02008006,0.5645889,0.63923806,-0.029192213,0.572662,0.60780126,-0.03660064,0.6142779,0.6350013,-0.0018228326,0.6171791,0.5892997,-0.022004144,0.6069275,0.5991837,-0.039398383,0.6001702,0.62132937,-0.047361277,0.63406235,0.63531893,-0.0035754987,0.64767414,0.57639706,-0.012017049,0.65420383,0.5410548,-0.01945544,0.66080713,0.5141674,-0.024469018,0.65167654,0.6464445,-0.009344684,0.6633689,0.59225076,-0.016051285,0.6696117,0.55783576,-0.019702591,0.6752594,0.52991176,-0.02152921,0.6661956,0.66661555,-0.016966412,0.6766392,0.6213081,-0.020294106,0.681005,0.5939004,-0.018338,0.6842978,0.5712797,-0.016192308,8
4cd1ed50-dd06-11ec-8ba0-48e7da372cc2,RIGHT,0.6503465,0.5822467,5.1607827e-08,0.61693466,0.5588967,-0.010863598,0.59132725,0.5172467,-0.017576452,0.57997006,0.47672868,-0.024386274,0.5781168,0.44118133,-0.02871849,0.62153417,0.4646375,-0.0032695069,0.61933017,0.41633973,-0.01952928,0.61267895,0.43473256,-0.032021128,0.6097338,0.46023563,-0.037135564,0.6422569,0.4585889,-0.005029277,0.6459399,0.39966068,-0.0127862645,0.6492747,0.3656279,-0.018220617,0.65341675,0.33760217,-0.021664187,0.66040856,0.46398476,-0.010152087,0.6654032,0.41150126,-0.016925849,0.6686008,0.37928033,-0.018962653,0.67045474,0.35151303,-0.019549262,0.6785126,0.47782648,-0.016678952,0.68201375,0.4353225,-0.02013405,0.6830754,0.40873867,-0.017267324,0.6837528,0.3862762,-0.014320307,8
4cf7f50d-dd06-11ec-8e11-48e7da372cc2,RIGHT,0.6813915,0.5536061,1.11069475e-07,0.6439034,0.5250611,-0.00903127,0.6160946,0.48312038,-0.013790213,0.6013162,0.44233757,-0.019492026,0.5959241,0.4070799,-0.02263637,0.64321256,0.43023628,0.0049729585,0.6405796,0.38175255,-0.011394237,0.63671553,0.39259553,-0.02468638,0.63613933,0.41432965,-0.030143496,0.66344243,0.4219926,0.0032249612,0.6643206,0.366277,-0.0048353397,0.66464967,0.33432522,-0.011481129,0.6651633,0.30796078,-0.015673667,0.6815889,0.4250996,-0.002422222,0.6872641,0.3731737,-0.00930447,0.6910325,0.3423695,-0.012134812,0.69364387,0.31660044,-0.013344626,0.6993902,0.43684694,-0.009563541,0.7041776,0.39476618,-0.012553825,0.70601135,0.36831763,-0.010736677,0.7078165,0.34363127,-0.008804876,8
4d1deabe-dd06-11ec-b324-48e7da372cc2,RIGHT,0.68429905,0.5374211,1.3701843e-07,0.6453183,0.5154892,-0.010222531,0.6145638,0.47944337,-0.016123533,0.59680414,0.4430096,-0.022637261,0.5904757,0.41079438,-0.027156657,0.6427189,0.4199573,0.0044223745,0.64220953,0.37463057,-0.0111231655,0.63987976,0.37635416,-0.025309803,0.63864964,0.39028066,-0.031488307,0.6621114,0.4117546,0.0029808267,0.6629505,0.3552283,-0.001806806,0.66286564,0.32147947,-0.007191898,0.6635227,0.29514986,-0.011120223,0.680318,0.4137043,-0.0025741502,0.6806195,0.3621059,-0.00606799,0.68010277,0.33046362,-0.008262451,0.6798899,0.30425453,-0.00977467,0.69901204,0.42313194,-0.010069348,0.6987795,0.38164794,-0.010981889,0.6971312,0.35640407,-0.008771155,0.6960738,0.33272928,-0.0069927885,8
4d43eda9-dd06-11ec-8e8b-48e7da372cc2,RIGHT,0.6852166,0.53380895,1.12205385e-07,0.64567834,0.5125772,-0.007950317,0.61643803,0.47510767,-0.012221583,0.5998604,0.4406953,-0.01765024,0.5931464,0.4109571,-0.021802848,0.64653844,0.41414037,0.006902256,0.644614,0.37223783,-0.0063984054,0.64374596,0.37106776,-0.019988256,0.643891,0.37917736,-0.026844148,0.6661645,0.4049128,0.0036633962,0.6679962,0.3502265,3.47284e-05,0.6689178,0.31633365,-0.006103912,0.6705574,0.2889614,-0.011117066,0.6847428,0.40777537,-0.003317098,0.6862394,0.35723585,-0.0065214927,0.6864929,0.3262125,-0.009449486,0.68679345,0.29968196,-0.011981936,0.70358765,0.4184038,-0.012031253,0.70351505,0.37706324,-0.013759687,0.7025609,0.35184067,-0.012185163,0.7017918,0.32827127,-0.011138613,8
4d69c4c6-dd06-11ec-a873-48e7da372cc2,RIGHT,0.7119731,0.5226159,1.1643157e-07,0.6715762,0.5014798,-0.011266421,0.6410919,0.46627066,-0.017276883,0.6217748,0.43286467,-0.024023578,0.61539024,0.40138188,-0.0288488,0.6677556,0.40478548,0.00531925,0.6676093,0.3627648,-0.00992395,0.66924024,0.3629005,-0.024243914,0.6729974,0.37322003,-0.031136524,0.68761057,0.395932,0.0037161964,0.6886,0.34010085,-0.0006123214,0.6885719,0.30605242,-0.0058119847,0.6886091,0.27744865,-0.009765827,0.7064078,0.39774153,-0.0023145308,0.70658344,0.34660202,-0.0054594837,0.70600504,0.3155151,-0.0075670998,0.7058435,0.2885524,-0.009407423,0.7260228,0.40726283,-0.01057968,0.72550637,0.3667422,-0.011825468,0.7246157,0.34285963,-0.009786017,0.7243296,0.3204509,-0.008285085,8
4d8ff726-dd06-11ec-8ada-48e7da372cc2,RIGHT,0.74642247,0.5012535,1.650837e-07,0.7063693,0.47651553,-0.011244688,0.6739836,0.43967107,-0.016182756,0.6562915,0.4034132,-0.021800986,0.6493245,0.3708815,-0.025450593,0.7005274,0.3813809,0.0055757505,0.70068985,0.33792672,-0.007526611,0.7030412,0.3349697,-0.020250564,0.7049004,0.34229213,-0.02639093,0.7205346,0.37123019,0.004173355,0.7229818,0.3155617,0.0002885627,0.72547096,0.2816891,-0.00560476,0.72745097,0.2538755,-0.0101143345,0.73933053,0.37305585,-0.0012891003,0.74099046,0.3230749,-0.005154453,0.74306923,0.29280514,-0.008830661,0.7445592,0.26799923,-0.011509096,0.7585876,0.3830905,-0.008693216,0.7601903,0.34413126,-0.010390372,0.7613423,0.32041577,-0.0088876905,0.7620966,0.29943475,-0.0077352007,8
4db616ea-dd06-11ec-906a-48e7da372cc2,RIGHT,0.7801323,0.47571045,1.5803546e-07,0.73965144,0.45391896,-0.013739235,0.7064955,0.41554984,-0.019917004,0.6888707,0.37695873,-0.026150964,0.6840116,0.34160936,-0.030071726,0.7328164,0.35407278,0.0028450256,0.73365986,0.3118826,-0.012232322,0.7351232,0.31007686,-0.026125472,0.73693866,0.31927451,-0.0326769,0.7533981,0.34346682,0.0028688856,0.75555474,0.28873968,-0.0018104968,0.7576883,0.25490627,-0.00742694,0.7595271,0.2264788,-0.011525766,0.7730113,0.34548217,-0.0014068047,0.77482295,0.29622582,-0.005786821,0.7768962,0.265825,-0.008554988,0.7777394,0.24058357,-0.010195417,0.7931079,0.35684618,-0.007869453,0.79433984,0.31711236,-0.009708613,0.7949109,0.29334438,-0.0075432514,0.79467356,0.27274114,-0.005557304,8
4ddbf5f5-dd06-11ec-b2f6-48e7da372cc2,RIGHT,0.80401474,0.45773077,1.5320573e-07,0.7640135,0.43474323,-0.014680967,0.7317544,0.39643466,-0.02259933,0.7155463,0.3561478,-0.030443216,0.71090335,0.31944552,-0.03593416,0.75948405,0.33710855,-0.001474844,0.7562983,0.29153976,-0.019562032,0.7597638,0.2957329,-0.034800258,0.765175,0.30979007,-0.041945238,0.7810342,0.32731876,-0.0018817286,0.7826856,0.26927507,-0.009111927,0.7863043,0.23439436,-0.01614751,0.7904346,0.20399517,-0.02147543,0.8004789,0.33007643,-0.0065705264,0.8027388,0.2776854,-0.012559741,0.8043615,0.24539807,-0.0152717875,0.8062099,0.21772628,-0.017151257,0.8208281,0.34137213,-0.013528179,0.82177055,0.2996238,-0.016096791,0.8218284,0.27356404,-0.013833068,0.82168305,0.2495971,-0.012063871,8
4e020083-dd06-11ec-a17b-48e7da372cc2,RIGHT,0.81257075,0.44412807,1.410885e-07,0.7743664,0.42045045,-0.01367402,0.7422658,0.38384825,-0.021267256,0.7253259,0.3446193,-0.028887969,0.72083056,0.30910057,-0.034372207,0.77060515,0.32639992,-0.0019286592,0.7674443,0.278074,-0.020771684,0.7681334,0.2829124,-0.03666556,0.7705917,0.2999677,-0.043728933,0.7918926,0.31627136,-0.0020674788,0.7938495,0.2579145,-0.009584326,0.79608256,0.2238209,-0.016980026,0.7990531,0.19550198,-0.022330824,0.81131047,0.3184226,-0.0063022845,0.8138466,0.26695082,-0.012570985,0.81465006,0.23476505,-0.015933229,0.8155669,0.207638,-0.017929537,0.83054686,0.32931608,-0.012533617,0.8321703,0.2887601,-0.015128962,0.8313588,0.2640717,-0.013237528,0.8307656,0.24196692,-0.011472511,8
